id	len
ABYU02000050	56
AFBO01000629	81
ADUB01000286	81
ADTK01000256	82
ADUA01000088	83
ADTK01000258	85
ADTM01000361	85
ADUB01000399	85
ADUE01000063	86
ADUE01000377	87
ADTN01000309	87
ADTX01000492	87
ADTY01000397	88
AEVO01000165	88
ADUA01000339	89
ADTX01000440	90
ABXH02000043	90
ADTM01000354	91
AEBH01000072	91
ADTO01000345	91
ADUE01000361	91
ADTO01000355	91
AEVN01000093	92
ADTP01000237	92
ADUB01000382	92
AFBN01000107	92
ADTX01000439	93
ADUA01000309	94
AEBQ01000124	94
AFBO01000765	94
ADUD01000690	95
ADTK01000355	95
ADTK01000261	95
ADTP01000399	95
AFBO01000852	95
AEVN01000037	95
AFBO01000690	97
DS264506	97
ACGH01000142	97
AAXE02000030	97
AFBO01000854	97
AAXE02000035	97
DS264501	97
ADTX01000146	98
ADTW01000354	98
ADTX01000468	99
AAXE02000032	99
DS264503	99
ADTX01000266	99
AECU01000246	99
ADUF01000435	99
ADUC01000367	100
AFBO01000859	100
ABXH02000049	100
ADUA01000445	100
ADTW01000041	100
AFBO01000848	100
ADTM01000317	100
ADUC01000095	101
ADTS01000372	102
AFBQ01000389	102
AEVO01000162	102
ADUG01000360	102
ADTO01000322	102
ACCI02000104	103
ADTW01000371	103
ADTO01000395	104
ADUA01000409	104
AFFY01000131	104
ADTR01000514	104
ADTK01000362	105
ADUG01000403	105
ADUD01000738	105
ADUA01000399	106
AEVO01000029	106
ADTR01000333	106
ADTR01000430	107
ADTZ01000478	107
ADTR01000537	107
ADUD01000699	107
ADTW01000409	107
ADTZ01000355	107
AAVL02000014	108
ADUD01000749	108
DS264274	108
ADUD01000700	108
ACCI02000082	108
ADTX01000443	109
ADTR01000412	109
ABXV02000163	109
ABWL02000004	109
ADUB01000361	110
ADUA01000282	110
ADUA01000348	110
ADTO01000273	110
AFBO01000646	111
ADTJ01000170	111
ADTS01000449	111
ADTM01000327	111
ADTO01000366	112
ADUD01000118	112
AFBO01000414	112
ADUF01000464	112
ADTP01000339	113
ADTY01000164	113
AFFY01000188	113
ADTJ01000291	114
ABXH02000050	114
ADTP01000370	115
ADTP01000311	115
ADUD01000583	115
DS264379	115
AAVP02000064	115
AFBQ01000254	115
AEVN01000094	116
ACDM02000058	117
DS264505	117
AAXE02000034	117
ABYS02000011	117
DS264373	117
ADUE01000281	117
AAVP02000063	117
DS264502	118
ABYJ02000260	118
AAXE02000031	118
ADTL01000353	119
ADTY01000166	119
ACFX02000066	120
ADUA01000376	120
ADUE01000349	121
ADTN01000310	121
ADTQ01000188	122
AFBS01000219	122
ADTS01000371	122
ADUD01000746	123
AFFY01000154	123
ACFX02000085	123
ABWL02000035	123
AFBQ01000380	123
ADUD01000768	123
AAXE02000028	124
ADTJ01000526	124
DS264499	124
AAXE02000033	124
DS264504	124
ADTY01000379	125
AFFY01000216	126
ADTP01000415	126
ADTR01000538	126
ADUD01000044	127
ADUF01000244	128
AECU01000186	128
ADTM01000410	128
ADUD01000778	128
AFFY01000104	129
ADTQ01000294	129
ADUC01000420	130
ADTJ01000484	130
ADUD01000046	130
ADTW01000391	130
ADTK01000424	131
ADTS01000453	131
ABXV02000114	131
ADTZ01000021	131
AFBQ01000374	131
ABXV02000159	132
AFBO01000762	133
ADTS01000390	133
ADUA01000330	133
AFBQ01000316	134
AAVO02000062	134
AFBO01000791	134
DS264300	134
ADTJ01000063	134
ADTM01000423	135
ADUD01000590	135
ADTK01000431	136
AFBQ01000336	136
ADUD01000705	136
ADTL01000385	137
ACDH02000021	137
ADUD01000471	137
ADTJ01000299	138
AFFY01000229	138
ADTR01000540	139
ABYS02000002	139
ADUD01000761	139
ABYU02000060	139
ADTM01000433	141
ADUA01000089	141
AFBO01000758	141
AFBO01000870	142
ACDN02000075	143
ABYU02000063	143
ADTS01000441	144
ADTL01000403	144
ADTY01000291	144
ADUD01000605	144
ADTX01000499	145
ADNS01000034	145
ABXV02000020	145
AFBS01000199	145
AFBO01000622	145
AEVN01000105	146
ADUA01000132	146
ABXV02000161	147
AFBO01000802	147
AFFY01000062	147
ABWK02000031	147
ADTP01000378	148
ADUD01000534	148
ADTX01000411	149
AFBO01000858	149
ADTR01000222	149
ADTR01000503	150
AFFY01000170	150
ADUD01000701	150
ADTZ01000386	151
ACAB02000056	151
ADTQ01000310	151
AFFY01000223	151
AEBJ01000041	151
ADUG01000379	151
ABYJ02000014	152
ADTM01000341	152
ADTL01000412	152
AFFY01000132	153
AECU01000111	153
ADTL01000399	153
ADTJ01000535	154
ADUD01000397	154
AEVO01000161	154
ADMC01000035	154
ADTK01000257	154
ABYJ02000283	155
AFBO01000630	155
AEVO01000166	155
ADUD01000593	155
ADTR01000336	155
ADUE01000050	156
ADUE01000186	156
AFBO01000799	156
ADUD01000043	156
AEVN01000112	156
ADTS01000443	156
AEBH01000044	157
AFBS01000202	157
AEBH01000043	157
ADTJ01000423	157
AEBH01000042	158
ADTJ01000562	158
ADUE01000053	158
AFBO01000665	158
ADUF01000453	158
ADTY01000205	158
ABWM02000062	159
ADTZ01000426	159
ABXH02000048	159
ADTP01000405	160
AFFY01000218	160
ADUD01000643	161
ABXV02000112	161
AFFY01000211	163
ADTX01000453	163
AFFY01000174	163
ADTP01000337	163
ADTZ01000267	163
AFFY01000176	163
ADUD01000757	163
AFBN01000105	164
ABXH02000032	164
AEVN01000117	164
ABXV02000156	164
AEBQ01000033	165
AEVN01000092	165
ADUD01000694	166
ADTX01000422	167
ADTL01000362	167
ADUC01000440	167
ABWL02000043	167
AFFY01000169	168
ADTK01000356	168
ADUD01000782	168
ADTS01000295	168
ADTR01000042	168
ADTQ01000236	169
AFBN01000106	169
ACFX02000040	169
AFBN01000104	169
AFFY01000221	170
ADTP01000006	170
AFBQ01000215	170
ADTK01000420	170
ACAB02000011	170
ADUF01000439	170
ABXH02000023	170
ACCI02000020	170
ADUF01000396	170
ACCI02000047	171
AFBN01000103	171
ADTR01000505	171
ADTK01000401	171
AFBO01000784	171
ABYJ02000318	172
ADUD01000747	173
ADTR01000195	173
AFFY01000078	174
AFFY01000099	174
AFFY01000177	174
ADTZ01000269	175
ACFX02000025	175
ADTJ01000397	175
ADTR01000386	176
AFBO01000664	176
ABXI02000006	176
ADTJ01000509	176
ADTM01000040	177
ADUE01000372	177
ADUG01000383	177
ADTZ01000273	178
AFBO01000731	178
ADUD01000665	178
AFFY01000228	179
ADTK01000030	179
ADTJ01000171	179
ADUF01000402	179
ACDG02000012	180
ACFX02000014	181
AFFY01000226	181
AFFY01000160	181
ADTR01000494	183
ADTY01000350	183
ADUB01000411	183
AEVO01000152	184
ADTO01000332	185
ADTW01000206	185
ADUD01000037	186
AFBO01000064	186
